ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,Ag,Ag Method,Al,Al Method,As,As Method,Au,Au Method,B,B Method,Ba,Ba Method,Be,Be Method,Bi,Bi Method,Ca,Ca Method,Cd,Cd Method,Ce,Ce Method,Cl,Cl Method,Co,Co Method,Cr,Cr Method,Cs,Cs Method,Cu,Cu Method,Dy,Dy Method,Er,Er Method,Eu,Eu Method,Fe,Fe Method,Ga,Ga Method,Gd,Gd Method,Ge,Ge Method,Hf,Hf Method,Hg,Hg Method,Ho,Ho Method,In,In Method,Ir,Ir Method,K,K Method,La,La Method,Li,Li Method,Lu,Lu Method,Mg,Mg Method,Mn,Mn Method,Mo,Mo Method,Na,Na Method,Nb,Nb Method,Nd,Nd Method,Ni,Ni Method,P,P Method,Pb,Pb Method,Pd,Pd Method,Pr,Pr Method,Pt,Pt Method,Rb,Rb Method,Re,Re Method,Rh,Rh Method,Ru,Ru Method,S,S Method,Sb,Sb Method,Sc,Sc Method,Se,Se Method,Si,Si Method,Sm,Sm Method,Sn,Sn Method,Sr,Sr Method,Ta,Ta Method,Tb,Tb Method,Te,Te Method,Th,Th Method,Ti,Ti Method,Tl,Tl Method,Tm,Tm Method,U,U Method,V,V Method,W,W Method,Y,Y Method,Yb,Yb Method,Zn,Zn Method,Zr,Zr Method
OREAS0296,Au >1 ppm,primary,quartz conglomerate,modified paleoplacer,yes,Current,oreas-catalogue-2023-11-03.csv,0.323,4-Acid Digestion,19200,4-Acid Digestion,18.8,4-Acid Digestion,2.19,Pb Fire Assay,,,259,4-Acid Digestion,0.65,4-Acid Digestion,0.5,4-Acid Digestion,4820,4-Acid Digestion,0.098,4-Acid Digestion,26,4-Acid Digestion,,,11.2,4-Acid Digestion,80,4-Acid Digestion,2.57,4-Acid Digestion,26,4-Acid Digestion,1.46,4-Acid Digestion,0.62,4-Acid Digestion,0.47,4-Acid Digestion,13300,4-Acid Digestion,5.14,4-Acid Digestion,1.98,4-Acid Digestion,,,0.96,4-Acid Digestion,,,0.25,4-Acid Digestion,0.018,4-Acid Digestion,,,6850,4-Acid Digestion,13.1,4-Acid Digestion,23,4-Acid Digestion,0.076,4-Acid Digestion,2390,4-Acid Digestion,130,4-Acid Digestion,2.87,4-Acid Digestion,4190,4-Acid Digestion,3.49,4-Acid Digestion,11.6,4-Acid Digestion,,,190,4-Acid Digestion,32,4-Acid Digestion,,,3,4-Acid Digestion,,,,,,,,,,,2490,4-Acid Digestion,0.45,4-Acid Digestion,2.64,4-Acid Digestion,,,424337,Borate Fusion XRF,,,1.3,4-Acid Digestion,37,4-Acid Digestion,0.45,4-Acid Digestion,0.29,4-Acid Digestion,,,6.65,4-Acid Digestion,1050,4-Acid Digestion,0.24,4-Acid Digestion,0.087,4-Acid Digestion,25,4-Acid Digestion,,,2.41,4-Acid Digestion,5.79,4-Acid Digestion,0.55,4-Acid Digestion,29,4-Acid Digestion,31,4-Acid Digestion
OREAS0297,Au >1 ppm,primary,quartz conglomerate,modified paleoplacer,yes,Current,oreas-catalogue-2023-11-03.csv,2.05,4-Acid Digestion,16400,4-Acid Digestion,48,4-Acid Digestion,17.83,Pb Fire Assay,,,216,4-Acid Digestion,0.55,4-Acid Digestion,1.14,4-Acid Digestion,4520,4-Acid Digestion,0.18,4-Acid Digestion,33,4-Acid Digestion,,,24,4-Acid Digestion,110,4-Acid Digestion,2,4-Acid Digestion,52,4-Acid Digestion,2.07,4-Acid Digestion,0.97,4-Acid Digestion,0.58,4-Acid Digestion,19300,4-Acid Digestion,4.48,4-Acid Digestion,2.46,4-Acid Digestion,,,1.26,4-Acid Digestion,,,0.37,4-Acid Digestion,0.016,4-Acid Digestion,,,5570,4-Acid Digestion,16.7,4-Acid Digestion,17.9,4-Acid Digestion,0.11,4-Acid Digestion,2770,4-Acid Digestion,160,4-Acid Digestion,4.34,4-Acid Digestion,2990,4-Acid Digestion,3.49,4-Acid Digestion,13.9,4-Acid Digestion,,,160,4-Acid Digestion,79,4-Acid Digestion,,,3.69,4-Acid Digestion,,,,,,,,,,,6430,4-Acid Digestion,0.85,4-Acid Digestion,2.62,4-Acid Digestion,,,422935,Borate Fusion XRF,,,1.11,4-Acid Digestion,32,4-Acid Digestion,0.73,4-Acid Digestion,0.39,4-Acid Digestion,,,12.3,4-Acid Digestion,860,4-Acid Digestion,0.21,4-Acid Digestion,,,82,4-Acid Digestion,,,2.59,4-Acid Digestion,8.11,4-Acid Digestion,0.84,4-Acid Digestion,41,4-Acid Digestion,43,4-Acid Digestion
OREAS0298,Au >1 ppm,primary,quartz conglomerate,modified paleoplacer,yes,Current,oreas-catalogue-2023-11-03.csv,3.66,4-Acid Digestion,16100,4-Acid Digestion,47,4-Acid Digestion,35,Pb Fire Assay,,,214,4-Acid Digestion,0.54,4-Acid Digestion,1.34,4-Acid Digestion,4470,4-Acid Digestion,0.19,4-Acid Digestion,33,4-Acid Digestion,,,24,4-Acid Digestion,111,4-Acid Digestion,1.98,4-Acid Digestion,137,4-Acid Digestion,2.06,4-Acid Digestion,0.96,4-Acid Digestion,0.57,4-Acid Digestion,20400,4-Acid Digestion,4.48,4-Acid Digestion,2.48,4-Acid Digestion,,,1.29,4-Acid Digestion,,,0.36,4-Acid Digestion,0.027,4-Acid Digestion,,,5540,4-Acid Digestion,16.5,4-Acid Digestion,18.2,4-Acid Digestion,0.11,4-Acid Digestion,2800,4-Acid Digestion,160,4-Acid Digestion,5.25,4-Acid Digestion,2990,4-Acid Digestion,3.66,4-Acid Digestion,13.9,4-Acid Digestion,55,Borate Fusion XRF,160,4-Acid Digestion,87,4-Acid Digestion,,,3.68,4-Acid Digestion,,,,,,,,,,,7210,4-Acid Digestion,0.86,4-Acid Digestion,2.59,4-Acid Digestion,,,421907,Borate Fusion XRF,,,1.15,4-Acid Digestion,32,4-Acid Digestion,0.77,4-Acid Digestion,0.37,4-Acid Digestion,,,11.5,4-Acid Digestion,940,4-Acid Digestion,0.21,4-Acid Digestion,0.13,4-Acid Digestion,75,4-Acid Digestion,,,2.93,4-Acid Digestion,8.05,4-Acid Digestion,0.83,4-Acid Digestion,45,4-Acid Digestion,45,4-Acid Digestion
OREAS0299,Au >1 ppm,primary,quartz conglomerate,modified paleoplacer,yes,Current,oreas-catalogue-2023-11-03.csv,6.35,4-Acid Digestion,29000,4-Acid Digestion,55,4-Acid Digestion,90,Pb Fire Assay,,,327,4-Acid Digestion,0.97,4-Acid Digestion,1.43,4-Acid Digestion,4230,4-Acid Digestion,0.2,4-Acid Digestion,49,4-Acid Digestion,,,18.8,4-Acid Digestion,134,4-Acid Digestion,3.76,4-Acid Digestion,496,4-Acid Digestion,2.58,4-Acid Digestion,1.27,4-Acid Digestion,0.7,4-Acid Digestion,24000,4-Acid Digestion,7.87,4-Acid Digestion,3.35,4-Acid Digestion,,,3.28,4-Acid Digestion,,,0.47,4-Acid Digestion,0.092,4-Acid Digestion,,,10700,4-Acid Digestion,24,4-Acid Digestion,22,4-Acid Digestion,0.19,4-Acid Digestion,5050,4-Acid Digestion,200,4-Acid Digestion,8.07,4-Acid Digestion,3680,4-Acid Digestion,9.69,4-Acid Digestion,21,4-Acid Digestion,,,250,4-Acid Digestion,106,4-Acid Digestion,,,5.63,4-Acid Digestion,,,,,,,,,,,6020,4-Acid Digestion,18.3,4-Acid Digestion,5.59,4-Acid Digestion,,,398068,Borate Fusion XRF,,,2.05,4-Acid Digestion,45,4-Acid Digestion,1.03,4-Acid Digestion,0.47,4-Acid Digestion,,,13.4,4-Acid Digestion,3020,4-Acid Digestion,0.38,4-Acid Digestion,0.18,4-Acid Digestion,51,4-Acid Digestion,36,Borate Fusion XRF,5.93,4-Acid Digestion,10.9,4-Acid Digestion,1.24,4-Acid Digestion,78,4-Acid Digestion,113,4-Acid Digestion
OREAS0002CBatch2D3,"Au <1 ppm, Au only",primary,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,0.371,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0002Ca,"Au <1 ppm, Au only",primary,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,0.599,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0002Pa,"Au <1 ppm, Au only",primary,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,0.854,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0002Pd,Au >1 ppm,oxide,greywacke,shear-hosted orogenic gold,no,Archived,oreas-catalogue-2023-11-03.csv,,,,,,,0.885,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0030a,Blank/lithogeochem/low-level,primary,basalt,barren,yes,Current,oreas-catalogue-2023-11-03.csv,0.028,Aqua Regia Digestion,79000,4-Acid Digestion,1.55,4-Acid Digestion,,,,,537,4-Acid Digestion,2.18,4-Acid Digestion,0.032,4-Acid Digestion,56700,4-Acid Digestion,0.14,4-Acid Digestion,58,4-Acid Digestion,,,45,4-Acid Digestion,156,4-Acid Digestion,1.17,4-Acid Digestion,44,4-Acid Digestion,4.36,4-Acid Digestion,2.04,4-Acid Digestion,1.82,4-Acid Digestion,80600,4-Acid Digestion,22,4-Acid Digestion,5.41,4-Acid Digestion,0.13,4-Acid Digestion,4.81,4-Acid Digestion,,,0.78,4-Acid Digestion,0.072,4-Acid Digestion,,,17100,4-Acid Digestion,28,4-Acid Digestion,10.9,4-Acid Digestion,0.23,4-Acid Digestion,45800,4-Acid Digestion,1160,4-Acid Digestion,4.27,4-Acid Digestion,23800,4-Acid Digestion,46,4-Acid Digestion,28,4-Acid Digestion,145,Borate / Peroxide Fusion ICP,2550,4-Acid Digestion,3.75,4-Acid Digestion,,,6.96,4-Acid Digestion,,,37,Borate / Peroxide Fusion ICP,,,,,,,440,4-Acid Digestion,,,20,4-Acid Digestion,,,219554,Borate Fusion XRF,5.68,Borate / Peroxide Fusion ICP,1.88,4-Acid Digestion,776,4-Acid Digestion,2.97,4-Acid Digestion,0.78,4-Acid Digestion,,,3.78,4-Acid Digestion,12200,4-Acid Digestion,0.13,4-Acid Digestion,0.27,4-Acid Digestion,1.34,4-Acid Digestion,208,Borate / Peroxide Fusion ICP,0.21,4-Acid Digestion,19.5,4-Acid Digestion,1.55,4-Acid Digestion,109,4-Acid Digestion,204,4-Acid Digestion
OREAS0315,Zn-Pb-Ag sulphide ore,primary,sulphidic graphitic slate,SEDEX,yes,Current,oreas-catalogue-2023-11-03.csv,72,Aqua Regia Digestion,52400,4-Acid Digestion,145,4-Acid Digestion,,,99,Borate / Peroxide Fusion ICP,2212,Borate Fusion XRF,2.22,4-Acid Digestion,8.28,4-Acid Digestion,10300,4-Acid Digestion,140,4-Acid Digestion,64,4-Acid Digestion,,,17.7,4-Acid Digestion,161,4-Acid Digestion,3.24,4-Acid Digestion,785,4-Acid Digestion,3.17,4-Acid Digestion,1.62,4-Acid Digestion,1.03,4-Acid Digestion,51800,4-Acid Digestion,15.9,4-Acid Digestion,4.2,4-Acid Digestion,4.43,Borate / Peroxide Fusion ICP,2.05,4-Acid Digestion,2.09,Aqua Regia Digestion,0.57,4-Acid Digestion,1.51,4-Acid Digestion,,,25700,4-Acid Digestion,32,4-Acid Digestion,22,4-Acid Digestion,0.25,4-Acid Digestion,8580,4-Acid Digestion,1130,4-Acid Digestion,9.84,4-Acid Digestion,920,4-Acid Digestion,9.73,Borate / Peroxide Fusion ICP,27,4-Acid Digestion,237,Borate / Peroxide Fusion ICP,340,4-Acid Digestion,37900,4-Acid Digestion,,,7.27,4-Acid Digestion,,,126,Borate / Peroxide Fusion ICP,,,,,,,53700,4-Acid Digestion,92,4-Acid Digestion,9.22,4-Acid Digestion,2.91,4-Acid Digestion,261577,Borate Fusion XRF,5.07,Borate / Peroxide Fusion ICP,3.14,4-Acid Digestion,61,4-Acid Digestion,0.22,4-Acid Digestion,0.56,4-Acid Digestion,0.26,Aqua Regia Digestion,10.9,4-Acid Digestion,1680,4-Acid Digestion,19.6,4-Acid Digestion,0.28,4-Acid Digestion,3.92,4-Acid Digestion,117,Borate / Peroxide Fusion ICP,1.99,4-Acid Digestion,14.9,4-Acid Digestion,1.71,4-Acid Digestion,54500,4-Acid Digestion,66,4-Acid Digestion
OREAS0316,Zn-Pb-Ag sulphide ore,primary,sulphidic graphitic slate,SEDEX,yes,Current,oreas-catalogue-2023-11-03.csv,102,Aqua Regia Digestion,43700,4-Acid Digestion,368,4-Acid Digestion,,,83,Borate / Peroxide Fusion ICP,1890,Borate Fusion XRF,1.89,4-Acid Digestion,14.6,4-Acid Digestion,9350,4-Acid Digestion,255,4-Acid Digestion,58,4-Acid Digestion,,,12.7,4-Acid Digestion,98,4-Acid Digestion,2.6,4-Acid Digestion,1610,4-Acid Digestion,3.1,4-Acid Digestion,1.59,4-Acid Digestion,1.19,4-Acid Digestion,59700,4-Acid Digestion,14.5,4-Acid Digestion,4,4-Acid Digestion,4.22,Borate / Peroxide Fusion ICP,1.71,4-Acid Digestion,3.83,Aqua Regia Digestion,0.59,4-Acid Digestion,1.64,4-Acid Digestion,,,21300,4-Acid Digestion,29,4-Acid Digestion,17.4,4-Acid Digestion,0.23,4-Acid Digestion,6660,4-Acid Digestion,4470,4-Acid Digestion,16.3,4-Acid Digestion,700,4-Acid Digestion,8.86,Borate / Peroxide Fusion ICP,25,4-Acid Digestion,110,Borate / Peroxide Fusion ICP,310,4-Acid Digestion,50200,4-Acid Digestion,,,6.6,4-Acid Digestion,,,101,Borate / Peroxide Fusion ICP,,,,,,,88900,4-Acid Digestion,122,4-Acid Digestion,7.47,4-Acid Digestion,2.93,4-Acid Digestion,220583,Borate Fusion XRF,4.98,Borate / Peroxide Fusion ICP,3.17,4-Acid Digestion,55,4-Acid Digestion,0.69,Borate / Peroxide Fusion ICP,0.57,4-Acid Digestion,0.26,Aqua Regia Digestion,8.97,4-Acid Digestion,2038,Borate Fusion XRF,16,4-Acid Digestion,0.26,4-Acid Digestion,3.5,4-Acid Digestion,102,Borate / Peroxide Fusion ICP,2.16,4-Acid Digestion,15.7,4-Acid Digestion,1.65,4-Acid Digestion,111600,4-Acid Digestion,54,4-Acid Digestion
OREAS0317,Zn-Pb-Ag sulphide ore,primary,sulphidic graphitic slate,SEDEX,yes,Current,oreas-catalogue-2023-11-03.csv,232,Aqua Regia Digestion,30200,4-Acid Digestion,237,4-Acid Digestion,,,47,Borate / Peroxide Fusion ICP,3269,Borate Fusion XRF,1.48,4-Acid Digestion,44,4-Acid Digestion,5830,4-Acid Digestion,374,4-Acid Digestion,37,4-Acid Digestion,,,12.5,4-Acid Digestion,64,4-Acid Digestion,1.86,4-Acid Digestion,4130,4-Acid Digestion,2.18,4-Acid Digestion,1.13,4-Acid Digestion,0.61,4-Acid Digestion,68300,4-Acid Digestion,10.7,4-Acid Digestion,2.63,4-Acid Digestion,3.35,Borate / Peroxide Fusion ICP,1.33,4-Acid Digestion,6.01,Aqua Regia Digestion,0.4,4-Acid Digestion,1.18,4-Acid Digestion,,,16200,4-Acid Digestion,15.9,4-Acid Digestion,14.1,4-Acid Digestion,0.17,4-Acid Digestion,3880,4-Acid Digestion,6790,4-Acid Digestion,42,4-Acid Digestion,610,4-Acid Digestion,5.71,Borate / Peroxide Fusion ICP,15.8,4-Acid Digestion,104,Borate / Peroxide Fusion ICP,300,4-Acid Digestion,121300,4-Acid Digestion,,,4.29,4-Acid Digestion,,,76,Borate / Peroxide Fusion ICP,0.096,4-Acid Digestion,,,,,147800,4-Acid Digestion,224,4-Acid Digestion,5.31,4-Acid Digestion,4.98,4-Acid Digestion,145606,Borate Fusion XRF,3.39,Borate / Peroxide Fusion ICP,3.61,4-Acid Digestion,101,4-Acid Digestion,,,0.37,4-Acid Digestion,0.86,Aqua Regia Digestion,6.17,4-Acid Digestion,1060,4-Acid Digestion,17.8,4-Acid Digestion,0.18,4-Acid Digestion,4.49,4-Acid Digestion,70,Borate / Peroxide Fusion ICP,1.71,4-Acid Digestion,10.3,4-Acid Digestion,1.18,4-Acid Digestion,174500,4-Acid Digestion,41,4-Acid Digestion
OREAS0032,"Au >1 ppm, Au-Ag ore, Au-Cu ore, Zn-Pb-Ag sulphide ore",primary,metasediment/sulphide,Broken Hill Type,no,Archived,oreas-catalogue-2023-11-03.csv,566,4-Acid Digestion,,,,,2.61,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,29500,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85400,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126800,4-Acid Digestion,,
OREAS0033,"Au-Ag ore, Zn-Pb-Ag sulphide ore",primary,siltstone,structurally-controlled sediment-hosted,no,Archived,oreas-catalogue-2023-11-03.csv,74,4-Acid Digestion,,,,,0.521,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,3464,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71500,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40600,4-Acid Digestion,,
OREAS0034h,Zn-Pb-Ag sulphide ore,primary,carbonate,MVT,no,Archived,oreas-catalogue-2023-11-03.csv,22,Peroxide Fusion ICP,,,2415,Acid Digestion (no HF),,,,,,,,,,,80800,Acid Digestion (no HF),196,Acid Digestion (no HF),,,,,168,Acid Digestion (no HF),,,,,628,Acid Digestion (no HF),,,,,,,188900,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,37500,Acid Digestion (no HF),405,Acid Digestion (no HF),,,,,,,,,483,Peroxide Fusion ICP,336,Acid Digestion (no HF),14600,Acid Digestion (no HF),,,,,,,,,,,,,,,263200,Acid Digestion (no HF),4.08,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,246,Acid Digestion (no HF),,,,,,,,,,,,,122500,Acid Digestion (no HF),,
OREAS0034i,Zn-Pb-Ag sulphide ore,primary,carbonate,MVT,no,Archived,oreas-catalogue-2023-11-03.csv,9.45,Peroxide Fusion ICP,,,2236,Acid Digestion (no HF),,,,,,,,,,,104000,Acid Digestion (no HF),24,Acid Digestion (no HF),,,,,148,Acid Digestion (no HF),,,,,237,Acid Digestion (no HF),,,,,,,198600,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,48900,Acid Digestion (no HF),658,Acid Digestion (no HF),,,,,,,,,413,Peroxide Fusion ICP,446,Acid Digestion (no HF),2920,Acid Digestion (no HF),,,,,,,,,,,,,,,225800,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,234,Acid Digestion (no HF),,,,,,,,,,,,,13400,Acid Digestion (no HF),,
OREAS0034j,Zn-Pb-Ag sulphide ore,primary,carbonate,MVT,no,Archived,oreas-catalogue-2023-11-03.csv,46,Acid Digestion (no HF),,,3075,Acid Digestion (no HF),,,,,,,,,,,32000,Acid Digestion (no HF),647,Acid Digestion (no HF),,,,,324,Acid Digestion (no HF),,,,,873,Acid Digestion (no HF),,,,,,,151600,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,11900,Acid Digestion (no HF),236,Acid Digestion (no HF),29,Acid Digestion (no HF),,,,,,,,,354,Acid Digestion (no HF),11600,Acid Digestion (no HF),,,,,,,,,,,,,,,313600,Acid Digestion (no HF),5.49,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,288,Acid Digestion (no HF),,,,,,,,,,,,,341800,Acid Digestion (no HF),,
OREAS0034k,Zn-Pb-Ag sulphide ore,primary,carbonate,MVT,no,Archived,oreas-catalogue-2023-11-03.csv,17.4,Acid Digestion (no HF),,,2194,Acid Digestion (no HF),,,,,161,Acid Digestion (no HF),,,,,41600,Acid Digestion (no HF),499,Acid Digestion (no HF),,,,,215,Acid Digestion (no HF),,,,,76,Acid Digestion (no HF),,,,,,,203800,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,14100,Acid Digestion (no HF),167,Acid Digestion (no HF),,,,,,,,,578,Peroxide Fusion ICP,414,Acid Digestion (no HF),20800,Acid Digestion (no HF),,,,,,,,,,,,,,,332100,Acid Digestion (no HF),,,,,,,,,,,,,,,,,,,,,,,,,352,Acid Digestion (no HF),,,,,,,,,,,,,237600,Acid Digestion (no HF),,
OREAS0350,Concentrates,primary,concentrate,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,97,4-Acid Digestion,,,900,4-Acid Digestion,,,,,,,,,,,,,932,4-Acid Digestion,,,,,,,,,,,8540,4-Acid Digestion,,,,,,,52300,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,2630,4-Acid Digestion,,,,,,,,,,,,,,,82200,4-Acid Digestion,,,,,,,,,,,,,,,,,108,4-Acid Digestion,,,,,28607,Peroxide Fusion ICP,,,,,,,,,,,,,,,,,128,4-Acid Digestion,,,,,,,,,,,,,441300,4-Acid Digestion,,
OREAS0351,Concentrates,primary,concentrate,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,120,4-Acid Digestion,,,1076,4-Acid Digestion,,,,,,,,,,,,,1095,4-Acid Digestion,,,,,,,,,,,10700,4-Acid Digestion,,,,,,,58800,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,780,4-Acid Digestion,,,,,,,,,,,,,,,38500,4-Acid Digestion,,,,,,,,,,,,,,,,,144,4-Acid Digestion,,,,,23699,Peroxide Fusion ICP,,,,,,,,,,,,,,,,,144,4-Acid Digestion,,,,,,,,,,,,,469900,4-Acid Digestion,,
OREAS0352,Concentrates,primary,concentrate,SEDEX,no,Archived,oreas-catalogue-2023-11-03.csv,9.43,4-Acid Digestion,,,112,4-Acid Digestion,,,,,,,,,,,,,56,4-Acid Digestion,,,,,,,,,,,640,4-Acid Digestion,,,,,,,5190,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,970,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4-Acid Digestion,,,,,16594,Peroxide Fusion ICP,,,,,,,,,,,,,,,,,19.5,4-Acid Digestion,,,,,,,,,,,,,22100,4-Acid Digestion,,
OREAS0353,"Concentrates, Zn-Pb-Ag sulphide ore",primary,sulphide,Broken Hill Type,yes,Archived,oreas-catalogue-2023-11-03.csv,2184,Pb Fire Assay,2040,4-Acid Digestion,490,4-Acid Digestion,,,,,25,4-Acid Digestion,,,32,4-Acid Digestion,2360,4-Acid Digestion,205,4-Acid Digestion,14,4-Acid Digestion,,,49,4-Acid Digestion,136,4-Acid Digestion,0.19,4-Acid Digestion,3120,4-Acid Digestion,0.77,4-Acid Digestion,,,1.63,4-Acid Digestion,53500,4-Acid Digestion,1.35,4-Acid Digestion,1.01,4-Acid Digestion,,,,,,,,,2.01,4-Acid Digestion,,,450,4-Acid Digestion,7.91,4-Acid Digestion,4.27,4-Acid Digestion,,,6850,4-Acid Digestion,1840,4-Acid Digestion,18.4,4-Acid Digestion,280,4-Acid Digestion,0.8,4-Acid Digestion,5.29,4-Acid Digestion,,,240,4-Acid Digestion,,,,,1.43,4-Acid Digestion,,,,,,,,,,,151300,4-Acid Digestion,1746,4-Acid Digestion,,,4.95,4-Acid Digestion,24026,Peroxide Fusion ICP,,,7.67,4-Acid Digestion,10.8,4-Acid Digestion,,,,,,,0.85,4-Acid Digestion,130,4-Acid Digestion,0.83,4-Acid Digestion,,,1.79,4-Acid Digestion,,,1.81,4-Acid Digestion,4.32,4-Acid Digestion,,,41300,4-Acid Digestion,3.91,4-Acid Digestion
OREAS0353b,"Concentrates, Zn-Pb-Ag sulphide ore",primary,sulphide,Broken Hill Type,yes,Current,oreas-catalogue-2023-11-03.csv,2184,Pb Fire Assay,2110,4-Acid Digestion,361,4-Acid Digestion,,,,,12.7,4-Acid Digestion,0.22,4-Acid Digestion,68,4-Acid Digestion,2100,4-Acid Digestion,183,4-Acid Digestion,22,4-Acid Digestion,,,32,4-Acid Digestion,38,4-Acid Digestion,0.15,4-Acid Digestion,4310,4-Acid Digestion,1.31,Peroxide Fusion ICP,0.7,Peroxide Fusion ICP,,,42900,4-Acid Digestion,1.93,4-Acid Digestion,1.64,Peroxide Fusion ICP,,,,,,,0.28,Peroxide Fusion ICP,1.26,4-Acid Digestion,,,500,4-Acid Digestion,12.3,4-Acid Digestion,6.33,4-Acid Digestion,,,8750,4-Acid Digestion,1080,4-Acid Digestion,84,4-Acid Digestion,340,4-Acid Digestion,0.29,4-Acid Digestion,8.64,Peroxide Fusion ICP,,,270,4-Acid Digestion,591800,4-Acid Digestion,,,2.34,Peroxide Fusion ICP,,,1.98,Peroxide Fusion ICP,0.04,4-Acid Digestion,,,,,151600,4-Acid Digestion,2342,4-Acid Digestion,,,,,26000,Peroxide Fusion ICP,1.62,Peroxide Fusion ICP,8.54,4-Acid Digestion,9.91,4-Acid Digestion,,,0.23,Peroxide Fusion ICP,,,0.5,4-Acid Digestion,100,4-Acid Digestion,1.15,4-Acid Digestion,,,1.53,4-Acid Digestion,,,,,7.63,4-Acid Digestion,0.47,Peroxide Fusion ICP,38300,4-Acid Digestion,2.82,4-Acid Digestion
OREAS0354,"Concentrates, Zn-Pb-Ag sulphide ore",primary,sulphide,SEDEX,no,Current,oreas-catalogue-2023-11-03.csv,98,4-Acid Digestion,4110,4-Acid Digestion,,,,,,,1443,Oxidising Fusion XRF,,,5.6,4-Acid Digestion,1650,4-Acid Digestion,1157,4-Acid Digestion,,,,,9.56,4-Acid Digestion,6.74,4-Acid Digestion,,,1387,4-Acid Digestion,,,,,,,98200,4-Acid Digestion,9.85,4-Acid Digestion,,,,,,,,,,,,,,,3540,4-Acid Digestion,,,,,,,540,4-Acid Digestion,15400,4-Acid Digestion,2.37,4-Acid Digestion,190,4-Acid Digestion,1.06,4-Acid Digestion,,,,,60,4-Acid Digestion,15800,4-Acid Digestion,,,,,,,,,,,,,,,266300,4-Acid Digestion,51,4-Acid Digestion,,,,,15706,Oxidising Fusion XRF,,,3.83,4-Acid Digestion,43,4-Acid Digestion,,,,,,,,,250,4-Acid Digestion,,,,,4.42,4-Acid Digestion,,,,,2.99,4-Acid Digestion,,,497700,4-Acid Digestion,9.95,4-Acid Digestion
