ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,URL,Ag(PPM),Ag(%),Ag Method,Al(PPM),Al(%),Al Method,As(PPM),As(%),As Method,Au(PPM),Au(%),Au Method,B(PPM),B(%),B Method,Ba(PPM),Ba(%),Ba Method,Be(PPM),Be(%),Be Method,Bi(PPM),Bi(%),Bi Method,Ca(PPM),Ca(%),Ca Method,Cd(PPM),Cd(%),Cd Method,Ce(PPM),Ce(%),Ce Method,Cl(PPM),Cl(%),Cl Method,Co(PPM),Co(%),Co Method,Cr(PPM),Cr(%),Cr Method,Cs(PPM),Cs(%),Cs Method,Cu(PPM),Cu(%),Cu Method,Dy(PPM),Dy(%),Dy Method,Er(PPM),Er(%),Er Method,Eu(PPM),Eu(%),Eu Method,Fe(PPM),Fe(%),Fe Method,Ga(PPM),Ga(%),Ga Method,Gd(PPM),Gd(%),Gd Method,Ge(PPM),Ge(%),Ge Method,Hf(PPM),Hf(%),Hf Method,Hg(PPM),Hg(%),Hg Method,Ho(PPM),Ho(%),Ho Method,In(PPM),In(%),In Method,Ir(PPM),Ir(%),Ir Method,K(PPM),K(%),K Method,La(PPM),La(%),La Method,Li(PPM),Li(%),Li Method,Lu(PPM),Lu(%),Lu Method,Mg(PPM),Mg(%),Mg Method,Mn(PPM),Mn(%),Mn Method,Mo(PPM),Mo(%),Mo Method,Na(PPM),Na(%),Na Method,Nb(PPM),Nb(%),Nb Method,Nd(PPM),Nd(%),Nd Method,Ni(PPM),Ni(%),Ni Method,P(PPM),P(%),P Method,Pb(PPM),Pb(%),Pb Method,Pd(PPM),Pd(%),Pd Method,Pr(PPM),Pr(%),Pr Method,Pt(PPM),Pt(%),Pt Method,Rb(PPM),Rb(%),Rb Method,Re(PPM),Re(%),Re Method,Rh(PPM),Rh(%),Rh Method,Ru(PPM),Ru(%),Ru Method,S(PPM),S(%),S Method,Sb(PPM),Sb(%),Sb Method,Sc(PPM),Sc(%),Sc Method,Se(PPM),Se(%),Se Method,Si(PPM),Si(%),Si Method,Sm(PPM),Sm(%),Sm Method,Sn(PPM),Sn(%),Sn Method,Sr(PPM),Sr(%),Sr Method,Ta(PPM),Ta(%),Ta Method,Tb(PPM),Tb(%),Tb Method,Te(PPM),Te(%),Te Method,Th(PPM),Th(%),Th Method,Ti(PPM),Ti(%),Ti Method,Tl(PPM),Tl(%),Tl Method,Tm(PPM),Tm(%),Tm Method,U(PPM),U(%),U Method,V(PPM),V(%),V Method,W(PPM),W(%),W Method,Y(PPM),Y(%),Y Method,Yb(PPM),Yb(%),Yb Method,Zn(PPM),Zn(%),Zn Method,Zr(PPM),Zr(%),Zr Method
OREAS0266,"Au >1 ppm, Au only",oxide,weathered greenstone/ sediments/ scoria,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-266/,4.3,0.00043,Aqua Regia Digestion,65000.000000,6.500000,4-Acid Digestion,187.0,0.0187,4-Acid Digestion,7.93,0.000793,Pb Fire Assay,10.0 INDICATIVE,0.001 INDICATIVE,Aqua Regia Digestion,459.000000,0.045900,4-Acid Digestion,2.29,0.000229,4-Acid Digestion,3.11,0.000311,4-Acid Digestion,21900.000000,2.190000,4-Acid Digestion,0.086,8.6e-06,4-Acid Digestion,83.000000,0.008300,4-Acid Digestion,,,,22.400000,0.002240,4-Acid Digestion,131.0,0.0131,4-Acid Digestion,4.4,0.00044,4-Acid Digestion,32.200000,0.003220,4-Acid Digestion,4.37,0.000437,4-Acid Digestion,2.02,0.000202,4-Acid Digestion,1.71,0.000171,4-Acid Digestion,50500.000000,5.050000,4-Acid Digestion,19.200000,0.001920,4-Acid Digestion,6.32,0.000632,4-Acid Digestion,0.11,1.1e-05,Aqua Regia Digestion,4.96,0.000496,4-Acid Digestion,0.039,3.9e-06,Aqua Regia Digestion,0.77,7.7e-05,4-Acid Digestion,0.079,7.9e-06,4-Acid Digestion,,,,15100.0,1.51,4-Acid Digestion,44.9,0.00449,4-Acid Digestion,29.4,0.00294,4-Acid Digestion,0.24,2.4e-05,4-Acid Digestion,17600.0,1.76,4-Acid Digestion,520.000000,0.052000,4-Acid Digestion,9.31,0.000931,4-Acid Digestion,11500.0,1.15,4-Acid Digestion,32.4,0.00324,4-Acid Digestion,37.400000,0.003740,4-Acid Digestion,80.0,0.008,Aqua Regia Digestion,1030.0,0.103,4-Acid Digestion,15.2,0.00152,4-Acid Digestion,,,,9.92,0.000992,4-Acid Digestion,,,,15.300000,0.001530,Aqua Regia Digestion,0.002 INDICATIVE,2e-07 INDICATIVE,4-Acid Digestion,,,,,,,320.0,0.032,4-Acid Digestion,10.3,0.00103,4-Acid Digestion,12.8,0.00128,4-Acid Digestion,,,,,,,,,,6.04,0.000604,4-Acid Digestion,335.0,0.0335,4-Acid Digestion,2.12,0.000212,4-Acid Digestion,0.83,8.3e-05,4-Acid Digestion,0.058,5.8e-06,Aqua Regia Digestion,10.9,0.00109,4-Acid Digestion,6500.0,0.65,4-Acid Digestion,0.42,4.2e-05,4-Acid Digestion,0.26,2.6e-05,4-Acid Digestion,2.08,0.000208,4-Acid Digestion,34.5,0.00345,Aqua Regia Digestion,32.1,0.00321,4-Acid Digestion,19.500000,0.001950,4-Acid Digestion,1.67,0.000167,4-Acid Digestion,90.000000,0.009000,4-Acid Digestion,205.0,0.0205,4-Acid Digestion
OREAS0026a,Blank (coarse) drill chips,primary,basalt,barren,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-26a/,,,,,,,,,,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,281.000000,0.028100,4-Acid Digestion,,,,,,,,,,0.052,5.2e-06,4-Acid Digestion,,,,,,,46.100000,0.004610,4-Acid Digestion,,,,,,,50.000000,0.005000,4-Acid Digestion,,,,,,,,,,77600.000000,7.760000,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.00015,4-Acid Digestion,,,,,,,,,,,,,,,,2.73,0.000273,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,0.000157,4-Acid Digestion,,,,,,,,,,,,,2.75,0.000275,4-Acid Digestion,,,,,,,,,,0.72,7.2e-05,4-Acid Digestion,,,,0.5,5e-05,4-Acid Digestion,,,,,,,107.000000,0.010700,4-Acid Digestion,,,
OREAS0026b,Blank (coarse) drill chips,primary,basalt,barren,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-26b/,,,,74700.000000,7.470000,4-Acid Digestion,,,,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,255.000000,0.025500,4-Acid Digestion,0.99,9.9e-05,4-Acid Digestion,,,,59200.000000,5.920000,4-Acid Digestion,,,,36.300000,0.003630,4-Acid Digestion,,,,44.400000,0.004440,4-Acid Digestion,293.0,0.0293,4-Acid Digestion,0.67,6.7e-05,4-Acid Digestion,43.700000,0.004370,4-Acid Digestion,,,,,,,,,,77400.000000,7.740000,4-Acid Digestion,20.200000,0.002020,4-Acid Digestion,,,,,,,3.5,0.00035,4-Acid Digestion,,,,,,,0.061,6.1e-06,4-Acid Digestion,,,,6790.0,0.679,4-Acid Digestion,17.4,0.00174,4-Acid Digestion,6.38,0.000638,4-Acid Digestion,,,,43000.0,4.3,4-Acid Digestion,1100.000000,0.110000,4-Acid Digestion,1.43,0.000143,4-Acid Digestion,23400.0,2.34,4-Acid Digestion,21.3,0.00213,4-Acid Digestion,,,,,,,1410.0,0.141,4-Acid Digestion,2.81,0.000281,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,100.0,0.01,4-Acid Digestion,,,,19.6,0.00196,4-Acid Digestion,,,,239420.166000,23.942017,Borate Fusion XRF,,,,1.83,0.000183,4-Acid Digestion,412.0,0.0412,4-Acid Digestion,1.36,0.000136,4-Acid Digestion,,,,,,,2.6,0.00026,4-Acid Digestion,10600.0,1.06,4-Acid Digestion,0.059,5.9e-06,4-Acid Digestion,,,,0.65,6.5e-05,4-Acid Digestion,,,,0.5,5e-05,4-Acid Digestion,21.200000,0.002120,4-Acid Digestion,,,,110.000000,0.011000,4-Acid Digestion,135.0,0.0135,4-Acid Digestion
OREAS0027,Blank (coarse) drill chips,primary,rhyodacite,barren,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-27/,0.219,2.19e-05,4-Acid Digestion,71400.000000,7.140000,4-Acid Digestion,4.33,0.000433,4-Acid Digestion,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,2988.000000,0.298800,4-Acid Digestion,3.04,0.000304,4-Acid Digestion,0.09,9e-06,4-Acid Digestion,13100.000000,1.310000,4-Acid Digestion,0.41,4.1e-05,4-Acid Digestion,,,,,,,1.740000,0.000174,4-Acid Digestion,79.0,0.0079,4-Acid Digestion,,,,4.610000,0.000461,4-Acid Digestion,,,,,,,,,,24300.000000,2.430000,4-Acid Digestion,,,,,,,,,,7.59,0.000759,4-Acid Digestion,,,,,,,,,,,,,32100.0,3.21,4-Acid Digestion,,,,20.9,0.00209,4-Acid Digestion,,,,1180.0,0.118,4-Acid Digestion,330.000000,0.033000,4-Acid Digestion,10.2,0.00102,4-Acid Digestion,28400.0,2.84,4-Acid Digestion,20.1,0.00201,4-Acid Digestion,,,,,,,270.0,0.027,4-Acid Digestion,25.0,0.0025,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.000119,4-Acid Digestion,4.06,0.000406,4-Acid Digestion,,,,,,,,,,4.06,0.000406,4-Acid Digestion,191.0,0.0191,4-Acid Digestion,1.53,0.000153,4-Acid Digestion,,,,,,,15.1,0.00151,4-Acid Digestion,1100.0,0.11,4-Acid Digestion,0.75,7.5e-05,4-Acid Digestion,,,,5.54,0.000554,4-Acid Digestion,,,,1.82,0.000182,4-Acid Digestion,15.100000,0.001510,4-Acid Digestion,,,,117.000000,0.011700,4-Acid Digestion,278.0,0.0278,4-Acid Digestion
OREAS0273,"Au >1 ppm, Au only",oxide,carbonate,Carlin style,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-273/,0.524,5.24e-05,Aqua Regia Digestion,16500.000000,1.650000,4-Acid Digestion,1211.0,0.1211,4-Acid Digestion,10.76,0.001076,Pb Fire Assay,,,,44.300000,0.004430,4-Acid Digestion,0.54,5.4e-05,4-Acid Digestion,0.64,6.4e-05,4-Acid Digestion,194300.000000,19.430000,4-Acid Digestion,0.42,4.2e-05,4-Acid Digestion,22.800000,0.002280,4-Acid Digestion,,,,2.210000,0.000221,4-Acid Digestion,32.9,0.00329,4-Acid Digestion,3.05,0.000305,4-Acid Digestion,20.900000,0.002090,4-Acid Digestion,2.95,0.000295,4-Acid Digestion,1.83,0.000183,4-Acid Digestion,0.56,5.6e-05,4-Acid Digestion,7840.000000,0.784000,4-Acid Digestion,4.450000,0.000445,4-Acid Digestion,2.88,0.000288,4-Acid Digestion,0.14,1.4e-05,4-Acid Digestion,0.9,9e-05,4-Acid Digestion,96.0,0.0096,Aqua Regia Digestion,0.63,6.3e-05,4-Acid Digestion,0.035,3.5e-06,4-Acid Digestion,,,,7780.0,0.778,4-Acid Digestion,18.7,0.00187,4-Acid Digestion,11.8,0.00118,4-Acid Digestion,0.22,2.2e-05,4-Acid Digestion,51900.0,5.19,4-Acid Digestion,410.000000,0.041000,4-Acid Digestion,7.42,0.000742,4-Acid Digestion,310.0,0.031,4-Acid Digestion,3.82,0.000382,4-Acid Digestion,13.900000,0.001390,4-Acid Digestion,30.4,0.00304,Aqua Regia Digestion,1030.0,0.103,4-Acid Digestion,12.2,0.00122,4-Acid Digestion,,,,3.57,0.000357,4-Acid Digestion,,,,20.400000,0.002040,Aqua Regia Digestion,0.007,7e-07,4-Acid Digestion,,,,,,,490.0,0.049,4-Acid Digestion,26.7,0.00267,4-Acid Digestion,4.0,0.0004,4-Acid Digestion,9.97,0.000997,4-Acid Digestion,,,,2.39,0.000239,Aqua Regia Digestion,0.97,9.7e-05,4-Acid Digestion,321.0,0.0321,4-Acid Digestion,0.25,2.5e-05,4-Acid Digestion,0.45,4.5e-05,4-Acid Digestion,0.2,2e-05,Aqua Regia Digestion,2.94,0.000294,4-Acid Digestion,840.0,0.084,4-Acid Digestion,9.47,0.000947,4-Acid Digestion,0.25,2.5e-05,4-Acid Digestion,6.22,0.000622,4-Acid Digestion,60.0,0.006,Aqua Regia Digestion,10.5,0.00105,4-Acid Digestion,24.900000,0.002490,4-Acid Digestion,1.57,0.000157,4-Acid Digestion,46.400000,0.004640,4-Acid Digestion,31.5,0.00315,4-Acid Digestion
OREAS0277,"Au >1 ppm, Au only",primary,siliceous shale,Carlin style,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-277/,0.093,9.3e-06,Aqua Regia Digestion,9230.000000,0.923000,Aqua Regia Digestion,467.0,0.0467,Aqua Regia Digestion,3.39,0.000339,Pb Fire Assay,10.0 INDICATIVE,0.001 INDICATIVE,Aqua Regia Digestion,,,,0.33,3.3e-05,Aqua Regia Digestion,0.2,2e-05,Aqua Regia Digestion,45000.000000,4.500000,Aqua Regia Digestion,0.36,3.6e-05,Aqua Regia Digestion,28.200000,0.002820,Aqua Regia Digestion,,,,,,,27.8,0.00278,Aqua Regia Digestion,2.05,0.000205,Aqua Regia Digestion,25.500000,0.002550,Aqua Regia Digestion,1.51,0.000151,Aqua Regia Digestion,0.66,6.6e-05,Aqua Regia Digestion,0.55,5.5e-05,Aqua Regia Digestion,18000.000000,1.800000,Aqua Regia Digestion,2.920000,0.000292,Aqua Regia Digestion,2.18,0.000218,Aqua Regia Digestion,0.054,5.4e-06,Aqua Regia Digestion,0.47,4.7e-05,Aqua Regia Digestion,4.45,0.000445,Aqua Regia Digestion,0.26,2.6e-05,Aqua Regia Digestion,0.022,2.2e-06,Aqua Regia Digestion,,,,3730.0,0.373,Aqua Regia Digestion,15.2,0.00152,Aqua Regia Digestion,13.7,0.00137,Aqua Regia Digestion,0.079,7.9e-06,Aqua Regia Digestion,12700.0,1.27,Aqua Regia Digestion,270.000000,0.027000,Aqua Regia Digestion,4.51,0.000451,Aqua Regia Digestion,170.0,0.017,Aqua Regia Digestion,0.077,7.7e-06,Aqua Regia Digestion,13.800000,0.001380,Aqua Regia Digestion,20.1,0.00201,Aqua Regia Digestion,500.0,0.05,Aqua Regia Digestion,7.25,0.000725,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,3.52,0.000352,Aqua Regia Digestion,0.005 INDICATIVE,5e-07 INDICATIVE,Aqua Regia Digestion,26.800000,0.002680,Aqua Regia Digestion,0.003,3e-07,Aqua Regia Digestion,,,,,,,6410.0,0.641,Aqua Regia Digestion,30.4,0.00304,Aqua Regia Digestion,2.6,0.00026,Aqua Regia Digestion,0.7,7e-05,Aqua Regia Digestion,,,,2.57,0.000257,Aqua Regia Digestion,0.93,9.3e-05,Aqua Regia Digestion,56.0,0.0056,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,0.29,2.9e-05,Aqua Regia Digestion,0.13,1.3e-05,Aqua Regia Digestion,5.16,0.000516,Aqua Regia Digestion,350.0,0.035,Aqua Regia Digestion,6.88,0.000688,Aqua Regia Digestion,0.09,9e-06,Aqua Regia Digestion,1.52,0.000152,Aqua Regia Digestion,31.5,0.00315,Aqua Regia Digestion,2.1,0.00021,Aqua Regia Digestion,6.860000,0.000686,Aqua Regia Digestion,0.56,5.6e-05,Aqua Regia Digestion,53.000000,0.005300,Aqua Regia Digestion,,,
OREAS0278,"Au >1 ppm, Au only",primary,siliceous shale,Carlin style,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-278/,0.136,1.36e-05,Aqua Regia Digestion,8590.000000,0.859000,Aqua Regia Digestion,703.0,0.0703,Aqua Regia Digestion,4.99,0.000499,Pb Fire Assay,20.0 INDICATIVE,0.002 INDICATIVE,Aqua Regia Digestion,,,,0.31,3.1e-05,Aqua Regia Digestion,0.46,4.6e-05,Aqua Regia Digestion,31900.000000,3.190000,Aqua Regia Digestion,0.54,5.4e-05,Aqua Regia Digestion,28.700000,0.002870,Aqua Regia Digestion,,,,,,,29.3,0.00293,Aqua Regia Digestion,1.77,0.000177,Aqua Regia Digestion,43.900000,0.004390,Aqua Regia Digestion,1.63,0.000163,Aqua Regia Digestion,0.71,7.1e-05,Aqua Regia Digestion,0.56,5.6e-05,Aqua Regia Digestion,17700.000000,1.770000,Aqua Regia Digestion,2.760000,0.000276,Aqua Regia Digestion,2.41,0.000241,Aqua Regia Digestion,0.052,5.2e-06,Aqua Regia Digestion,0.39,3.9e-05,Aqua Regia Digestion,6.87,0.000687,Aqua Regia Digestion,0.27,2.7e-05,Aqua Regia Digestion,0.03,3e-06,Aqua Regia Digestion,,,,3110.0,0.311,Aqua Regia Digestion,15.5,0.00155,Aqua Regia Digestion,10.9,0.00109,Aqua Regia Digestion,0.077,7.7e-06,Aqua Regia Digestion,10400.0,1.04,Aqua Regia Digestion,210.000000,0.021000,Aqua Regia Digestion,6.51,0.000651,Aqua Regia Digestion,140.0,0.014,Aqua Regia Digestion,0.097,9.7e-06,Aqua Regia Digestion,14.200000,0.001420,Aqua Regia Digestion,23.2,0.00232,Aqua Regia Digestion,520.0,0.052,Aqua Regia Digestion,6.86,0.000686,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,3.57,0.000357,Aqua Regia Digestion,0.005 INDICATIVE,5e-07 INDICATIVE,Aqua Regia Digestion,21.600000,0.002160,Aqua Regia Digestion,0.004,4e-07,Aqua Regia Digestion,,,,,,,9480.0,0.948,Aqua Regia Digestion,47.1,0.00471,Aqua Regia Digestion,2.89,0.000289,Aqua Regia Digestion,0.96,9.6e-05,Aqua Regia Digestion,,,,2.61,0.000261,Aqua Regia Digestion,1.2,0.00012,Aqua Regia Digestion,40.2,0.00402,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,0.31,3.1e-05,Aqua Regia Digestion,0.19,1.9e-05,Aqua Regia Digestion,4.85,0.000485,Aqua Regia Digestion,250.0,0.025,Aqua Regia Digestion,10.3,0.00103,Aqua Regia Digestion,0.09,9e-06,Aqua Regia Digestion,2.0,0.0002,Aqua Regia Digestion,38.7,0.00387,Aqua Regia Digestion,3.77,0.000377,Aqua Regia Digestion,7.670000,0.000767,Aqua Regia Digestion,0.55,5.5e-05,Aqua Regia Digestion,63.000000,0.006300,Aqua Regia Digestion,,,
OREAS0279,"Au >1 ppm, Au only",primary,siliceous shale,Carlin style,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-279/,0.165,1.65e-05,Aqua Regia Digestion,8070.000000,0.807000,Aqua Regia Digestion,948.0,0.0948,Aqua Regia Digestion,6.55,0.000655,Pb Fire Assay,10.5,0.00105,Aqua Regia Digestion,,,,0.3,3e-05,Aqua Regia Digestion,0.38,3.8e-05,Aqua Regia Digestion,23700.000000,2.370000,Aqua Regia Digestion,0.69,6.9e-05,Aqua Regia Digestion,29.800000,0.002980,Aqua Regia Digestion,,,,,,,27.8,0.00278,Aqua Regia Digestion,1.65,0.000165,Aqua Regia Digestion,42.100000,0.004210,Aqua Regia Digestion,1.81,0.000181,Aqua Regia Digestion,0.76,7.6e-05,Aqua Regia Digestion,0.57,5.7e-05,Aqua Regia Digestion,18500.000000,1.850000,Aqua Regia Digestion,2.660000,0.000266,Aqua Regia Digestion,2.58,0.000258,Aqua Regia Digestion,0.055,5.5e-06,Aqua Regia Digestion,0.34,3.4e-05,Aqua Regia Digestion,9.43,0.000943,Aqua Regia Digestion,0.3,3e-05,Aqua Regia Digestion,0.037,3.7e-06,Aqua Regia Digestion,,,,2630.0,0.263,Aqua Regia Digestion,16.2,0.00162,Aqua Regia Digestion,8.59,0.000859,Aqua Regia Digestion,0.079,7.9e-06,Aqua Regia Digestion,8870.0,0.887,Aqua Regia Digestion,160.000000,0.016000,Aqua Regia Digestion,8.18,0.000818,Aqua Regia Digestion,100.0,0.01,Aqua Regia Digestion,0.12,1.2e-05,Aqua Regia Digestion,14.900000,0.001490,Aqua Regia Digestion,27.0,0.0027,Aqua Regia Digestion,570.0,0.057,Aqua Regia Digestion,6.77,0.000677,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,3.82,0.000382,Aqua Regia Digestion,0.005 INDICATIVE,5e-07 INDICATIVE,Aqua Regia Digestion,17.200000,0.001720,Aqua Regia Digestion,0.005,5e-07,Aqua Regia Digestion,,,,,,,12700.0,1.27,Aqua Regia Digestion,61.0,0.0061,Aqua Regia Digestion,3.17,0.000317,Aqua Regia Digestion,1.21,0.000121,Aqua Regia Digestion,,,,2.81,0.000281,Aqua Regia Digestion,1.4,0.00014,Aqua Regia Digestion,29.6,0.00296,Aqua Regia Digestion,0.01 INDICATIVE,1e-06 INDICATIVE,Aqua Regia Digestion,0.35,3.5e-05,Aqua Regia Digestion,0.25,2.5e-05,Aqua Regia Digestion,4.67,0.000467,Aqua Regia Digestion,190.0,0.019,Aqua Regia Digestion,13.7,0.00137,Aqua Regia Digestion,0.097,9.7e-06,Aqua Regia Digestion,2.42,0.000242,Aqua Regia Digestion,46.7,0.00467,Aqua Regia Digestion,4.36,0.000436,Aqua Regia Digestion,8.530000,0.000853,Aqua Regia Digestion,0.58,5.8e-05,Aqua Regia Digestion,75.000000,0.007500,Aqua Regia Digestion,,,
OREAS0027b,Blank (coarse) drill chips,primary,rhyodacite,barren,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-27b/,,,,74400.000000,7.440000,4-Acid Digestion,5.53,0.000553,4-Acid Digestion,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,3089.000000,0.308900,4-Acid Digestion,3.28,0.000328,4-Acid Digestion,,,,13400.000000,1.340000,4-Acid Digestion,0.29,2.9e-05,4-Acid Digestion,90.000000,0.009000,4-Acid Digestion,,,,2.250000,0.000225,4-Acid Digestion,,,,7.32,0.000732,4-Acid Digestion,5.610000,0.000561,4-Acid Digestion,,,,,,,,,,27400.000000,2.740000,4-Acid Digestion,23.200000,0.002320,4-Acid Digestion,,,,,,,7.23,0.000723,4-Acid Digestion,,,,,,,0.065,6.5e-06,4-Acid Digestion,,,,30700.0,3.07,4-Acid Digestion,45.0,0.0045,4-Acid Digestion,28.6,0.00286,4-Acid Digestion,,,,1160.0,0.116,4-Acid Digestion,336.000000,0.033600,4-Acid Digestion,3.22,0.000322,4-Acid Digestion,29100.0,2.91,4-Acid Digestion,19.8,0.00198,4-Acid Digestion,,,,,,,280.0,0.028,4-Acid Digestion,26.3,0.00263,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.000117,4-Acid Digestion,4.05,0.000405,4-Acid Digestion,,,,,,,,,,4.02,0.000402,4-Acid Digestion,189.0,0.0189,4-Acid Digestion,1.4,0.00014,4-Acid Digestion,,,,,,,15.2,0.00152,4-Acid Digestion,1090.0,0.109,4-Acid Digestion,0.71,7.1e-05,4-Acid Digestion,,,,6.18,0.000618,4-Acid Digestion,,,,1.62,0.000162,4-Acid Digestion,15.100000,0.001510,4-Acid Digestion,,,,118.000000,0.011800,4-Acid Digestion,266.0,0.0266,4-Acid Digestion
OREAS0282,"Au >1 ppm, Au only",primary,carbonate,Carlin style,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-282/,0.577,5.77e-05,Aqua Regia Digestion,29500.000000,2.950000,4-Acid Digestion,2328.0,0.2328,4-Acid Digestion,13.71,0.001371,Pb Fire Assay,,,,100.000000,0.010000,4-Acid Digestion,0.93,9.3e-05,4-Acid Digestion,0.93,9.3e-05,4-Acid Digestion,174700.000000,17.470000,4-Acid Digestion,1.08,0.000108,4-Acid Digestion,36.900000,0.003690,4-Acid Digestion,,,,3.800000,0.000380,4-Acid Digestion,32.5,0.00325,4-Acid Digestion,8.24,0.000824,4-Acid Digestion,19.200000,0.001920,4-Acid Digestion,2.61,0.000261,4-Acid Digestion,1.46,0.000146,4-Acid Digestion,0.65,6.5e-05,4-Acid Digestion,10600.000000,1.060000,4-Acid Digestion,7.150000,0.000715,4-Acid Digestion,3.05,0.000305,4-Acid Digestion,0.1 INDICATIVE,1e-05 INDICATIVE,Aqua Regia Digestion,1.63,0.000163,4-Acid Digestion,40.3,0.00403,Aqua Regia Digestion,0.51,5.1e-05,4-Acid Digestion,0.059,5.9e-06,4-Acid Digestion,,,,18500.0,1.85,4-Acid Digestion,20.5,0.00205,4-Acid Digestion,21.6,0.00216,4-Acid Digestion,0.19,1.9e-05,4-Acid Digestion,33900.0,3.39,4-Acid Digestion,250.000000,0.025000,4-Acid Digestion,13.5,0.00135,4-Acid Digestion,650.0,0.065,4-Acid Digestion,5.73,0.000573,4-Acid Digestion,17.500000,0.001750,4-Acid Digestion,21.0,0.0021,Aqua Regia Digestion,320.0,0.032,4-Acid Digestion,18.8,0.00188,4-Acid Digestion,,,,4.6,0.00046,4-Acid Digestion,,,,39.000000,0.003900,Aqua Regia Digestion,0.022,2.2e-06,4-Acid Digestion,,,,,,,7170.0,0.717,4-Acid Digestion,15.2,0.00152,4-Acid Digestion,3.94,0.000394,4-Acid Digestion,2.35,0.000235,4-Acid Digestion,,,,3.13,0.000313,Aqua Regia Digestion,1.46,0.000146,4-Acid Digestion,277.0,0.0277,4-Acid Digestion,0.4,4e-05,4-Acid Digestion,0.44,4.4e-05,4-Acid Digestion,0.24,2.4e-05,Aqua Regia Digestion,5.36,0.000536,4-Acid Digestion,1610.0,0.161,4-Acid Digestion,28.8,0.00288,4-Acid Digestion,0.2,2e-05,4-Acid Digestion,7.31,0.000731,4-Acid Digestion,60.0,0.006,Aqua Regia Digestion,25.9,0.00259,4-Acid Digestion,16.600000,0.001660,4-Acid Digestion,1.31,0.000131,4-Acid Digestion,121.000000,0.012100,4-Acid Digestion,58.0,0.0058,4-Acid Digestion
